Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
2, LOC_CITY_NAME_STIRLING, 5.0, UNIT_SCOUT, 5.0, 30, 0.0
2, LOC_CITY_NAME_ULUNDI, 7.2, UNIT_SCOUT, 7.2, 30, 0.0
2, LOC_CITY_NAME_TOKYO, 4.8, UNIT_SCOUT, 4.8, 30, 0.0
2, LOC_CITY_NAME_MASHHAD, 3.6, UNIT_SCOUT, 3.6, 30, 0.0
2, LOC_CITY_NAME_ADUATUCA, 4.8, UNIT_SCOUT, 4.8, 30, 0.0
2, LOC_CITY_NAME_MUSCAT, 3.0, BUILDING_MONUMENT, 3.0, 60, 0.0
2, LOC_CITY_NAME_VATICAN_CITY, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
2, LOC_CITY_NAME_BANDAR_BRUNEI, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_HUNZA, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_BOLOGNA, 3.0, BUILDING_MONUMENT, 3.0, 60, 0.0
2, LOC_CITY_NAME_VILNIUS, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_LISBON, 3.5, BUILDING_MONUMENT, 3.5, 60, 0.0
2, LOC_CITY_NAME_LAHORE, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
2, LOC_CITY_NAME_JOHANNESBURG, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
3, LOC_CITY_HA_NOI, 6.0, UNIT_SCOUT, 6.0, 30, 0.0
3, LOC_CITY_NAME_VATICAN_CITY, 2.5, BUILDING_MONUMENT, 5.0, 60, 0.0
3, LOC_CITY_NAME_LISBON, 3.5, BUILDING_MONUMENT, 7.0, 60, 0.0
4, LOC_CITY_NAME_STIRLING, 10.0, UNIT_BUILDER, 10.0, 50, 0.0
4, LOC_CITY_NAME_ULUNDI, 14.4, UNIT_BUILDER, 14.4, 50, 0.0
4, LOC_CITY_NAME_TOKYO, 9.6, BUILDING_MONUMENT, 9.6, 60, 0.0
4, LOC_CITY_NAME_MASHHAD, 7.2, BUILDING_MONUMENT, 7.2, 60, 0.0
4, LOC_CITY_NAME_ADUATUCA, 9.6, UNIT_BUILDER, 9.6, 50, 0.0
4, LOC_CITY_NAME_MUSCAT, 18.0, UNIT_BUILDER, 18.0, 50, 0.0
4, LOC_CITY_NAME_VATICAN_CITY, 2.5, BUILDING_MONUMENT, 7.5, 60, 0.0
