Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
2, LOC_CITY_NAME_TYRE, 6.0, UNIT_SCOUT, 6.0, 30, 0.0
2, LOC_CITY_HA_NOI, 4.8, UNIT_SCOUT, 4.8, 30, 0.0
2, LOC_CITY_NAME_AMSTERDAM, 7.2, UNIT_SCOUT, 7.2, 30, 0.0
2, LOC_CITY_NAME_RA_KEDET, 6.0, UNIT_SCOUT, 6.0, 30, 0.0
2, LOC_CITY_NAME_MBANZA_KONGO, 4.8, UNIT_SCOUT, 4.8, 30, 0.0
2, LOC_CITY_NAME_NAZCA, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_HUNZA, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
2, LOC_CITY_NAME_CHINGUETTI, 4.5, UNIT_SLINGER, 4.5, 35, 0.0
2, LOC_CITY_NAME_NGAZARGAMU, 3.0, BUILDING_MONUMENT, 3.0, 60, 0.0
2, LOC_CITY_NAME_ANTIOCH, 2.0, BUILDING_MONUMENT, 2.0, 60, 0.0
2, LOC_CITY_NAME_YEREVAN, 2.5, BUILDING_MONUMENT, 2.5, 60, 0.0
2, LOC_CITY_NAME_VATICAN_CITY, 3.0, BUILDING_MONUMENT, 3.0, 60, 0.0
2, LOC_CITY_NAME_LISBON, 3.0, BUILDING_MONUMENT, 3.0, 60, 0.0
2, LOC_CITY_NAME_JOHANNESBURG, 3.0, BUILDING_MONUMENT, 3.0, 60, 0.0
3, LOC_CITY_NAME_ATHENS, 8.4, UNIT_SCOUT, 8.4, 30, 0.0
3, LOC_CITY_HA_NOI, 4.8, UNIT_SCOUT, 9.6, 30, 0.0
3, LOC_CITY_NAME_RA_KEDET, 6.0, UNIT_SCOUT, 12.0, 30, 0.0
3, LOC_CITY_NAME_NGAZARGAMU, 3.0, BUILDING_MONUMENT, 6.0, 60, 0.0
4, LOC_CITY_NAME_TYRE, 12.0, UNIT_BUILDER, 12.0, 50, 0.0
4, LOC_CITY_NAME_ATHENS, 8.4, UNIT_SCOUT, 16.8, 30, 0.0
4, LOC_CITY_HA_NOI, 4.8, UNIT_SCOUT, 14.4, 30, 0.0
4, LOC_CITY_NAME_AMSTERDAM, 14.4, UNIT_BUILDER, 14.4, 50, 0.0
4, LOC_CITY_NAME_RA_KEDET, 6.0, UNIT_SCOUT, 18.0, 30, 0.0
4, LOC_CITY_NAME_MBANZA_KONGO, 9.6, UNIT_BUILDER, 9.6, 50, 0.0
