Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
5, 4, 63, 1:1, 131073:196610, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 11, 49, 21
5, 12, 63, 1:1, 131073:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 34, 21
6, 4, 63, 1:1, 131073:196610, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 0, 9, 55, 19
6, 12, 63, 1:1, 196610:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 4, 33, 26
7, 12, 63, 1:1, 196610:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 2, 1, 31, 21
8, 12, 63, 1:1, 131073:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 2, -1, 34, 24
9, 7, 63, 1:1, 131073:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 3, 23, 41
10, 8, 63, 1:1, 196610:1638424, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 21, 50
11, 0, 63, 1:1, 131073:983054, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 12, 54, 17
12, 2, 63, 1:1, 131073:1441813, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 9, 41, 30
12, 8, 63, 1:1, 196610:1572887, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 3, 9, 46, 20
12, 12, 63, 1:1, 131073:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 0, -3, 27, 29
12, 63, 10, 1:1, 1966109:196610, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, 0, 5, 24, 34
12, 63, 8, 1:1, 1572887:196610, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -2, -2, 22, 36
13, 1, 63, 1:1, 131073:1310739, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 24, 52
13, 2, 63, 1:1, 131073:1441813, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 6, 6, 36, 29
13, 6, 63, 1:1, 196610:1769498, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 9, 41, 17
13, 10, 63, 1:1, 196610:2031646, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -3, 3, 24, 28
13, 63, 0, 1:1, 2162720:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 1, 32, 26
13, 63, 0, 1:1, 983054:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -2, 3, 24, 24
13, 63, 10, 1:1, 1966109:196610, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -2, -1, 31, 34
14, 6, 63, 1:1, 196610:1769498, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 7, 45, 17
14, 63, 6, 1:1, 1769498:196610, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -3, -6, 26, 40
15, 10, 63, 1:1, 131073:2031646, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -3, 19, 41
16, 1, 63, 1:1, 131073:1310739, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, 1, 21, 43
16, 9, 63, 1:1, 196610:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -4, 16, 47
17, 1, 63, 1:1, 131073:1310739, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 1, 0, 16, 46
17, 10, 63, 1:1, 131073:2031646, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, 2, 28, 37
18, 9, 63, 1:1, 196610:2752552, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, 0, 19, 43
18, 10, 63, 1:1, 131073:1966109, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 0, 4, 48, 20
19, 6, 63, 1:1, 131073:1769498, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 3, 33, 28
20, 2, 63, 1:1, 131073:1441813, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, 3, 26, 37
20, 4, 63, 1:1, 262145:1376276, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 5, 3, 0, 28
20, 4, 63, 1:1, 196608:1376276, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, 5, 0, 31, 28
20, 6, 63, 1:1, 131073:1769498, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 2, 0, 39, 23
20, 63, 6, 1:1, 1835035:131073, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, 0, -4, 31, 21
20, 63, 8, 1:3, 917517:65536, UNIT_GALLEY, UNKNOWN, 30, 15, 0, 6, 19, 50
21, 4, 63, 1:1, 262145:1376276, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 5, -3, 0, 29
21, 4, 63, 1:1, 196608:1376276, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, 2, -5, 31, 22
22, 0, 63, 1:1, 262145:2555941, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 5, 0, 14, 66
22, 4, 63, 1:1, 262145:1703961, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 5, 3, 0, 30
22, 4, 63, 1:1, 196608:1703961, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, -1, 0, 39, 17
22, 9, 63, 1:1, 131073:2687015, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 9, 47, 20
22, 9, 63, 1:1, 196610:2687015, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 4, 7, 40, 22
22, 10, 63, 1:1, 196610:3080234, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -5, 3, 31, 38
23, 4, 63, 1:1, 262145:2097183, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 5, 0, 0, 61
