seed,turn,seat,lane,cities,production,science,culture,gold,cumulative_production,alive,terminal
260909145,25,0,science,1,13.000000,5.830000,5.830000,256.200000,246.600000,true,false
260909145,25,1,culture,3,44.700000,10.140000,12.180000,162.400000,667.900000,true,false
260909145,25,2,religious,2,21.000000,9.280000,14.384000,18.400000,325.500000,true,false
260909145,25,3,diplomatic,2,33.900000,8.600000,9.500000,219.600000,426.500000,true,false
260909145,25,4,domination,3,39.200000,8.700000,8.932000,238.500000,509.500000,true,false
260909145,25,5,score,2,23.200000,5.700000,8.788000,192.500000,346.500000,true,false
260909145,50,0,science,2,25.200000,12.180000,8.932000,206.100000,663.500000,true,false
260909145,50,1,culture,3,69.500000,18.925000,28.379000,152.359000,2125.600000,true,false
260909145,50,2,religious,2,35.250000,16.935000,16.834000,233.200000,988.450000,true,false
260909145,50,3,diplomatic,4,60.100000,16.315000,17.567000,31.871000,1569.800000,true,false
260909145,50,4,domination,3,67.600000,40.196400,18.592000,135.775000,1841.400000,true,false
260909145,50,5,score,3,47.400000,21.402400,14.702000,144.800000,1239.400000,true,false
260909145,75,0,science,3,55.100000,26.745000,15.999000,85.000000,1699.500000,true,false
260909145,75,1,culture,3,82.300000,33.235000,48.702600,194.862500,4000.100000,true,false
260909145,75,2,religious,3,56.000000,35.554000,23.084000,118.800000,2110.400000,true,false
260909145,75,3,diplomatic,4,71.150000,29.340000,28.478000,0.000000,3209.350000,true,false
260909145,75,4,domination,3,101.300000,51.380000,21.752000,0.000000,3814.100000,true,false
260909145,75,5,score,4,78.400000,51.065000,18.895000,0.000000,2749.600000,true,false
260909145,100,0,science,4,70.500000,34.875000,30.935000,117.351000,3261.700000,true,false
260909145,100,1,culture,4,110.900000,53.485000,89.735000,128.387500,6584.900000,true,false
260909145,100,2,religious,4,91.200000,50.180000,37.640000,125.400000,4016.150000,true,false
260909145,100,3,diplomatic,4,87.800000,46.445400,36.825000,0.000000,5272.200000,true,false
260909145,100,4,domination,4,140.800000,78.930000,25.850000,83.892000,6692.500000,true,false
260909145,100,5,score,4,82.700000,59.705500,19.059000,0.000000,4827.800000,true,false
260909145,125,0,science,4,77.000000,47.360000,37.622000,225.937000,5157.600000,true,false
260909145,125,1,culture,4,132.700000,63.470000,102.844000,158.872000,9530.200000,true,false
260909145,125,2,religious,4,93.200000,71.060000,38.336000,146.400000,6368.250000,true,false
260909145,125,3,diplomatic,4,101.700000,52.692200,41.309000,0.000000,7653.600000,true,false
260909145,125,4,domination,4,167.500000,78.060000,34.800000,0.000000,10605.200000,true,false
260909145,125,5,score,4,86.400000,65.570000,32.582000,0.000000,6846.200000,true,false
260909145,129,0,science,4,82.600000,53.460000,38.318000,301.628000,5481.100000,true,true
260909145,129,1,culture,4,125.600000,60.850000,102.944000,85.872000,10037.100000,true,true
260909145,129,2,religious,4,99.000000,85.461800,36.134000,125.400000,6751.400000,true,true
260909145,129,3,diplomatic,4,101.400000,50.635000,39.339000,21.264500,8062.600000,true,true
260909145,129,4,domination,4,192.900000,78.640000,40.315500,0.000000,11371.000000,true,true
260909145,129,5,score,4,96.400000,67.670000,33.922000,13.800000,7196.700000,true,true
260909146,25,0,science,3,36.000000,9.510000,9.218000,248.500000,515.900000,true,false
260909146,25,1,culture,3,41.100000,17.995000,20.679000,273.600000,457.600000,true,false
260909146,25,2,religious,3,43.100000,6.180000,5.796000,251.600000,577.900000,true,false
260909146,25,3,diplomatic,3,40.000000,15.790000,8.234000,39.100000,531.200000,true,false
260909146,25,4,domination,3,25.700000,6.710000,8.334000,151.200000,371.300000,true,false
260909146,25,5,score,3,29.800000,8.400000,10.036000,280.500000,464.000000,true,false
260909146,50,0,science,4,54.600000,36.780000,21.388000,228.100000,1720.800000,true,false
260909146,50,1,culture,3,73.800000,52.305000,72.213000,285.600000,1897.100000,true,false
260909146,50,2,religious,3,58.700000,13.110000,14.622000,273.000000,1747.000000,true,false
260909146,50,3,diplomatic,3,54.700000,21.290000,10.202000,256.042000,1771.600000,true,false
260909146,50,4,domination,4,47.600000,12.180000,16.356000,22.700000,1298.200000,true,false
260909146,50,5,score,3,57.800000,33.750000,16.818000,74.600000,1666.700000,true,false
260909146,75,0,science,4,61.100000,54.341800,28.429000,136.316500,3194.200000,true,false
260909146,75,1,culture,4,96.800000,65.115000,103.457000,132.300000,4010.700000,true,false
260909146,75,2,religious,3,69.400000,23.395000,20.748000,37.200000,3358.200000,true,false
260909146,75,3,diplomatic,3,54.300000,25.400000,9.136000,0.000000,3224.100000,true,false
260909146,75,4,domination,4,80.000000,33.320000,27.064000,156.200000,2901.100000,true,false
260909146,75,5,score,4,87.000000,72.773250,22.518000,0.000000,3397.400000,true,false
260909146,100,0,science,4,73.200000,60.430000,31.622000,127.389500,4937.700000,true,false
260909146,100,1,culture,4,129.000000,91.145000,126.973000,121.752000,6677.000000,true,false
260909146,100,2,religious,4,86.000000,27.170000,18.818000,0.000000,5274.700000,true,false
260909146,100,3,diplomatic,4,74.600000,37.310000,15.214000,110.849000,5081.700000,true,false
260909146,100,4,domination,4,107.500000,62.470000,37.826000,214.700000,5338.200000,true,false
260909146,100,5,score,4,99.400000,70.180000,35.566000,0.000000,5691.400000,true,false
260909146,125,0,science,4,79.900000,69.405000,33.861000,296.721500,6805.200000,true,false
260909146,125,1,culture,4,162.000000,103.210000,166.380000,207.579000,10309.100000,true,false
260909146,125,2,religious,4,90.100000,32.390000,20.766000,0.000000,7448.600000,true,false
260909146,125,3,diplomatic,4,82.300000,39.460000,15.792000,0.000000,7075.400000,true,false
260909146,125,4,domination,4,134.000000,70.103000,53.267000,95.700000,8558.500000,true,false
260909146,125,5,score,4,115.800000,83.987400,57.037800,231.700000,8428.500000,true,false
260909146,150,0,science,4,90.900000,111.635000,35.267000,177.177500,8851.700000,true,false
260909146,150,1,culture,4,186.900000,102.821000,160.618000,0.000000,14815.800000,true,false
260909146,150,2,religious,4,109.600000,50.797600,24.500000,12.500000,9999.600000,true,false
260909146,150,3,diplomatic,4,94.500000,48.400000,19.100000,88.503000,9251.000000,true,false
260909146,150,4,domination,4,168.000000,78.281600,90.576000,3.900000,12196.000000,true,false
260909146,150,5,score,4,163.200000,100.000800,68.904000,98.800000,11755.700000,true,false
260909146,175,0,science,4,141.500000,109.290000,39.326000,154.577500,11813.200000,true,false
260909146,175,1,culture,4,187.500000,98.775000,186.649000,0.000000,18656.000000,true,false
260909146,175,2,religious,4,120.300000,47.090000,24.138000,112.232000,12902.000000,true,false
260909146,175,3,diplomatic,4,113.400000,48.140000,25.056000,199.973000,11897.600000,true,false
