seed,turn,seat,lane,cities,production,science,culture,gold,cumulative_production,alive,terminal
260909145,25,0,science,1,13.000000,5.830000,5.830000,256.200000,246.600000,true,false
260909145,25,1,culture,3,44.700000,10.140000,12.180000,162.400000,667.900000,true,false
260909145,25,2,religious,2,21.000000,9.280000,14.384000,18.400000,325.500000,true,false
260909145,25,3,diplomatic,2,33.900000,8.600000,9.500000,219.600000,426.500000,true,false
260909145,25,4,domination,3,39.200000,8.700000,8.932000,238.500000,509.500000,true,false
260909145,25,5,score,2,23.200000,5.700000,8.788000,192.500000,346.500000,true,false
260909145,50,0,science,2,25.200000,12.180000,8.932000,206.100000,663.500000,true,false
260909145,50,1,culture,3,69.500000,18.925000,28.379000,152.359000,2125.600000,true,false
260909145,50,2,religious,2,35.250000,16.935000,16.834000,233.200000,988.450000,true,false
260909145,50,3,diplomatic,4,60.100000,16.315000,17.567000,31.871000,1569.800000,true,false
260909145,50,4,domination,3,67.600000,40.196400,18.592000,135.775000,1841.400000,true,false
260909145,50,5,score,3,47.400000,21.402400,14.702000,144.800000,1239.400000,true,false
260909145,75,0,science,3,56.500000,26.745000,15.999000,85.000000,1700.900000,true,false
260909145,75,1,culture,3,82.300000,33.235000,48.702600,194.862500,4000.100000,true,false
260909145,75,2,religious,3,56.000000,35.554000,23.084000,118.800000,2110.400000,true,false
260909145,75,3,diplomatic,4,71.150000,29.340000,28.478000,0.000000,3209.350000,true,false
260909145,75,4,domination,3,93.200000,48.480000,20.372000,0.000000,3800.400000,true,false
260909145,75,5,score,4,78.400000,51.065000,18.895000,0.000000,2749.600000,true,false
260909145,100,0,science,4,73.300000,33.610000,29.972000,133.108000,3313.200000,true,false
260909145,100,1,culture,4,112.500000,49.865000,88.595000,102.644500,6579.800000,true,false
260909145,100,2,religious,4,80.200000,53.346800,34.920000,184.200000,3932.850000,true,false
260909145,100,3,diplomatic,4,93.900000,46.242100,37.175000,0.000000,5264.300000,true,false
260909145,100,4,domination,4,137.200000,85.260000,24.940000,50.000000,6621.900000,true,false
260909145,100,5,score,4,75.800000,56.025000,18.711000,0.000000,4723.700000,true,false
260909145,125,0,science,4,97.500000,41.100000,38.522000,70.594000,5371.800000,true,false
260909145,125,1,culture,4,124.300000,57.725000,121.177000,119.186500,9527.700000,true,false
260909145,125,2,religious,4,95.800000,80.942600,29.746000,201.778000,6144.250000,true,false
260909145,125,3,diplomatic,4,105.600000,48.799800,38.679000,0.000000,7705.000000,true,false
260909145,125,4,domination,4,164.500000,82.780000,35.052000,0.000000,10605.500000,true,false
260909145,125,5,score,4,78.500000,62.040000,31.794000,0.000000,6540.000000,true,false
260909145,137,0,science,4,109.200000,54.102800,38.666000,37.174000,6584.100000,true,true
260909145,137,1,culture,4,131.500000,53.240000,122.880000,191.692500,11003.000000,true,true
260909145,137,2,religious,4,112.150000,93.009725,32.732000,209.429000,7369.750000,true,true
260909145,137,3,diplomatic,4,121.800000,59.825000,49.375000,9.760500,9045.900000,true,true
260909145,137,4,domination,4,180.500000,71.290000,33.426000,0.000000,12714.400000,true,true
260909145,137,5,score,4,101.500000,65.530000,31.234000,0.000000,7649.100000,true,true
260909146,25,0,science,3,36.000000,9.510000,9.218000,248.500000,515.900000,true,false
260909146,25,1,culture,3,41.100000,17.995000,20.679000,273.600000,457.600000,true,false
260909146,25,2,religious,3,43.100000,6.180000,5.796000,251.600000,577.900000,true,false
260909146,25,3,diplomatic,3,40.000000,15.790000,8.234000,39.100000,531.200000,true,false
260909146,25,4,domination,3,25.700000,6.710000,8.334000,151.200000,371.300000,true,false
260909146,25,5,score,3,29.800000,8.400000,10.036000,280.500000,464.000000,true,false
260909146,50,0,science,4,54.600000,36.780000,21.388000,228.100000,1720.800000,true,false
260909146,50,1,culture,3,73.800000,52.305000,72.213000,285.600000,1897.100000,true,false
260909146,50,2,religious,3,58.700000,13.110000,14.622000,273.000000,1747.000000,true,false
260909146,50,3,diplomatic,3,54.700000,21.290000,10.202000,256.042000,1771.600000,true,false
260909146,50,4,domination,4,47.600000,12.180000,16.356000,22.700000,1298.200000,true,false
260909146,50,5,score,3,57.800000,33.750000,16.818000,74.600000,1666.700000,true,false
260909146,75,0,science,4,61.100000,54.341800,28.429000,136.316500,3194.200000,true,false
260909146,75,1,culture,4,96.800000,65.115000,103.457000,132.300000,4010.700000,true,false
260909146,75,2,religious,3,69.400000,23.395000,20.748000,37.200000,3358.200000,true,false
260909146,75,3,diplomatic,3,54.300000,25.400000,9.136000,0.000000,3224.100000,true,false
260909146,75,4,domination,4,80.000000,33.320000,27.064000,156.200000,2901.100000,true,false
260909146,75,5,score,4,87.000000,72.773250,22.518000,0.000000,3397.400000,true,false
260909146,100,0,science,4,75.700000,60.500000,31.744000,60.389500,4933.500000,true,false
260909146,100,1,culture,4,115.600000,84.115000,107.315000,231.070000,6624.200000,true,false
260909146,100,2,religious,4,86.000000,27.170000,18.818000,0.000000,5273.700000,true,false
260909146,100,3,diplomatic,4,74.600000,45.174800,15.214000,179.990000,5081.700000,true,false
260909146,100,4,domination,4,108.800000,63.920000,38.896000,210.700000,5366.900000,true,false
260909146,100,5,score,4,102.200000,70.180000,35.566000,0.000000,5704.100000,true,false
260909146,125,0,science,4,82.700000,72.035000,37.239000,288.877500,6856.500000,true,false
260909146,125,1,culture,4,149.300000,103.241500,136.662000,125.438000,9828.100000,true,false
260909146,125,2,religious,4,93.200000,28.600000,21.436000,0.000000,7447.200000,true,false
260909146,125,3,diplomatic,4,79.200000,53.065600,19.682000,226.500000,7000.400000,true,false
260909146,125,4,domination,4,133.900000,65.770000,32.246000,121.899000,8452.900000,true,false
260909146,125,5,score,4,140.200000,75.295000,40.545000,0.000000,8709.800000,true,false
260909146,150,0,science,5,99.400000,105.635000,39.061000,153.466500,9159.900000,true,false
260909146,150,1,culture,4,162.800000,96.900000,183.948000,398.111500,13748.000000,true,false
260909146,150,2,religious,4,113.600000,39.660000,23.220000,0.000000,9956.800000,true,false
260909146,150,3,diplomatic,4,88.700000,46.790000,19.682000,42.600000,9062.100000,true,false
260909146,150,4,domination,4,153.600000,85.136000,52.496000,4.340000,11993.600000,true,false
260909146,150,5,score,4,203.200000,99.021600,64.706000,132.116000,12873.400000,true,false
260909146,166,0,science,5,101.100000,113.950000,52.532000,104.566500,10656.900000,true,true
260909146,166,1,culture,4,177.000000,98.940000,214.696000,300.522500,16315.600000,true,true
260909146,166,2,religious,4,119.700000,37.614000,23.408000,0.000000,11647.900000,true,true
260909146,166,3,diplomatic,4,89.700000,46.640000,19.716000,61.617000,10363.700000,true,true
