seed,turn,seat,lane,cities,production,science,culture,gold,cumulative_production,alive,terminal
260909145,25,0,science,1,13.000000,5.830000,5.830000,256.200000,246.600000,true,false
260909145,25,1,culture,3,44.700000,10.140000,12.180000,162.400000,667.900000,true,false
260909145,25,2,religious,2,21.000000,9.280000,14.384000,18.400000,325.500000,true,false
260909145,25,3,diplomatic,2,33.900000,8.600000,9.500000,219.600000,426.500000,true,false
260909145,25,4,domination,3,39.200000,8.700000,8.932000,238.500000,509.500000,true,false
260909145,25,5,score,2,23.200000,5.700000,8.788000,192.500000,346.500000,true,false
260909145,50,0,science,2,25.200000,12.180000,8.932000,206.100000,663.500000,true,false
260909145,50,1,culture,3,69.500000,18.925000,28.379000,152.359000,2125.600000,true,false
260909145,50,2,religious,2,35.250000,16.935000,16.834000,233.200000,988.450000,true,false
260909145,50,3,diplomatic,4,60.100000,16.315000,17.567000,31.871000,1569.800000,true,false
260909145,50,4,domination,3,67.600000,40.196400,18.592000,135.775000,1841.400000,true,false
260909145,50,5,score,3,47.400000,21.402400,14.702000,144.800000,1239.400000,true,false
260909145,75,0,science,4,60.200000,29.265000,14.759000,129.600000,1702.200000,true,false
260909145,75,1,culture,3,82.300000,35.200000,36.834000,180.371000,3998.700000,true,false
260909145,75,2,religious,3,57.950000,36.004000,23.564000,103.200000,2105.600000,true,false
260909145,75,3,diplomatic,4,69.750000,29.440000,28.478000,0.000000,3220.350000,true,false
260909145,75,4,domination,3,108.700000,47.610000,20.250000,0.000000,3969.200000,true,false
260909145,75,5,score,4,79.800000,53.385000,18.895000,0.000000,2760.400000,true,false
260909145,100,0,science,4,65.600000,41.545000,33.405000,164.205000,3362.100000,true,false
260909145,100,1,culture,3,100.800000,48.150000,79.916000,215.643000,6434.900000,true,false
260909145,100,2,religious,4,98.800000,51.195000,39.506000,177.500000,4178.500000,true,false
260909145,100,3,diplomatic,4,100.100000,57.496750,36.415000,0.000000,5345.250000,true,false
260909145,100,4,domination,4,155.400000,74.050000,29.110000,0.000000,7382.400000,true,false
260909145,100,5,score,4,77.000000,66.145000,19.591000,0.000000,4871.700000,true,false
260909145,122,0,science,4,103.700000,50.200000,37.710000,45.557000,5200.100000,true,true
260909145,122,1,culture,3,113.800000,51.800000,88.895000,130.459000,8717.500000,true,true
260909145,122,2,religious,4,137.700000,90.520000,47.328000,199.660000,6858.800000,true,true
260909145,122,3,diplomatic,4,119.700000,67.000000,37.872000,0.000000,7732.950000,true,true
260909145,122,4,domination,4,171.400000,79.980000,43.480000,0.000000,10932.700000,true,true
260909145,122,5,score,4,98.800000,74.850000,33.296000,0.000000,6878.200000,true,true
260909146,25,0,science,3,36.000000,9.510000,9.218000,248.500000,515.900000,true,false
260909146,25,1,culture,3,41.100000,17.995000,20.679000,273.600000,457.600000,true,false
260909146,25,2,religious,3,43.100000,6.180000,5.796000,251.600000,577.900000,true,false
260909146,25,3,diplomatic,3,40.000000,15.790000,8.234000,39.100000,531.200000,true,false
260909146,25,4,domination,3,25.700000,6.710000,8.334000,151.200000,371.300000,true,false
260909146,25,5,score,3,29.800000,8.400000,10.036000,280.500000,464.000000,true,false
260909146,50,0,science,4,54.600000,36.780000,21.388000,228.100000,1720.800000,true,false
260909146,50,1,culture,3,73.800000,52.305000,72.213000,285.600000,1897.100000,true,false
260909146,50,2,religious,3,58.700000,13.110000,14.622000,273.000000,1747.000000,true,false
260909146,50,3,diplomatic,3,54.700000,21.290000,10.202000,256.042000,1771.600000,true,false
260909146,50,4,domination,4,47.600000,12.180000,16.356000,22.700000,1298.200000,true,false
260909146,50,5,score,3,57.800000,33.750000,16.818000,74.600000,1666.700000,true,false
260909146,75,0,science,4,65.300000,55.469400,30.867000,52.100000,3207.300000,true,false
260909146,75,1,culture,4,114.000000,84.133100,112.032000,110.100000,4137.900000,true,false
260909146,75,2,religious,3,69.400000,25.215000,20.748000,88.200000,3362.300000,true,false
260909146,75,3,diplomatic,3,66.600000,32.390000,11.474000,12.400000,3273.900000,true,false
260909146,75,4,domination,4,80.000000,33.320000,27.064000,176.200000,2901.100000,true,false
260909146,75,5,score,3,76.300000,62.520000,20.802000,0.000000,3414.500000,true,false
260909146,100,0,science,4,73.400000,71.674300,33.590000,136.493500,5018.000000,true,false
260909146,100,1,culture,4,129.400000,83.523600,119.920000,115.050000,7122.700000,true,false
260909146,100,2,religious,4,76.500000,34.130000,17.990000,0.000000,5190.400000,true,false
260909146,100,3,diplomatic,3,78.700000,36.400000,13.648000,119.894000,5064.500000,true,false
260909146,100,4,domination,4,110.400000,48.960000,32.640000,253.900000,5368.100000,true,false
260909146,100,5,score,3,88.200000,79.681200,33.214000,0.000000,5517.000000,true,false
260909146,125,0,science,4,92.100000,68.435000,38.711000,277.128000,7084.000000,true,false
260909146,125,1,culture,4,173.500000,111.995000,159.437000,25.000000,10800.200000,true,false
260909146,125,2,religious,4,73.400000,34.750000,17.906000,0.000000,7103.300000,true,false
260909146,125,3,diplomatic,4,76.000000,29.360000,11.128000,0.000000,7156.900000,true,false
260909146,125,4,domination,4,142.400000,66.123200,49.096000,41.700000,8529.700000,true,false
260909146,125,5,score,3,105.000000,90.139400,35.613000,71.700000,7970.600000,true,false
260909146,150,0,science,4,116.850000,114.915000,44.358000,151.248000,9578.700000,true,false
260909146,150,1,culture,4,189.000000,121.200000,206.322000,107.956000,15394.200000,true,false
260909146,150,2,religious,4,84.800000,44.926400,20.164000,0.000000,9190.900000,true,false
260909146,150,3,diplomatic,4,106.000000,44.210000,18.062000,18.564000,9646.700000,true,false
260909146,150,4,domination,4,158.200000,57.673000,129.682000,0.000000,12329.300000,true,false
260909146,150,5,score,3,112.300000,86.058500,33.024000,0.000000,10631.300000,true,false
260909146,152,0,science,4,120.550000,124.699800,44.828000,147.648000,9695.050000,true,true
260909146,152,1,culture,4,172.200000,113.360000,194.282000,187.956000,15583.200000,true,true
260909146,152,2,religious,4,86.200000,39.080000,20.164000,0.000000,9277.100000,true,true
260909146,152,3,diplomatic,4,94.400000,39.490000,16.130000,0.000000,9752.700000,true,true
260909146,152,4,domination,4,161.400000,56.313000,110.098000,38.400000,12489.100000,true,true
260909146,152,5,score,3,119.400000,100.258350,35.524000,0.000000,10747.100000,true,true
260909147,25,0,science,3,28.600000,19.365000,8.837000,264.800000,440.300000,true,false
260909147,25,1,culture,3,37.700000,8.480000,9.540000,204.200000,519.600000,true,false
260909147,25,2,religious,2,30.800000,11.020000,7.076000,215.700000,473.500000,true,false
260909147,25,3,diplomatic,3,32.400000,7.290000,8.582000,176.000000,461.200000,true,false
